park_code,park_name,fee_type,cost_usd,description
acad,Acadia National Park,Entrance - Private Vehicle,35.00,"Valid for seven days. Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants. This includes rental cars, RVs, and vans with fewer than 16 passengers. If the vehicle p"
acad,Acadia National Park,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
acad,Acadia National Park,Entrance - Per Person,20.00,"Valid for seven days. Admits one individual with no car (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge."
acad,Acadia National Park,Entrance - Education/Academic Groups,0.00,"School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups."
acad,Acadia National Park,Entrance - Non-commercial Groups,0.00,"Groups entering Acadia by bus, van, or other high-capacity vehicles (16 people or more) must pay an organized group entrance fee.

Adults (16 years old and over): $20/per person
Youth (15 years old an"
acad,Acadia National Park,Commercial Entrance - Per Person,20.00,"Are you operating a business that provides leisure or recreational services while in the park? If so, it is considered a commercial group and you are required to have a Commercial Use Authorization.

"
acad,Acadia National Park,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Acadia National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless they are admitted with an Annual or America the "
adam,Adams National Historical Park,Entrance - Per Person,15.00,Entrance into the historic homes at Adams National Historical Park requires an entrance pass. Entrance passes cost $15 per person. Children under the age of 16 are free. If you have an America the Bea
anti,Antietam National Battlefield,Entrance - Private Vehicle,20.00,Personal Vehicle/Family: $20.00 for three days
anti,Antietam National Battlefield,Entrance - Per Person,10.00,"Individual: $10.00 for three days. This fee admits one individual in a vehicle and also includes hikers, bicyclists or pedestrians. Youth 15 and under are admitted free of charge."
anti,Antietam National Battlefield,Entrance - Motorcycle,15.00,"Valid for 3 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
anti,Antietam National Battlefield,Commercial Entrance - Motor Coach,100.00,$100 Motor Coach/Commercial Tour Groups with 26 or more people
anti,Antietam National Battlefield,Commercial Entrance - Mini-bus,40.00,$40 per passenger bus with 16-25 people
anti,Antietam National Battlefield,Commercial Entrance - Sedan,25.00,$25 per passenger bus/sedan with 1-6 people
anti,Antietam National Battlefield,Entrance - Education/Academic Groups,0.00,"To request an Academic Fee Waiver for your group, click on the link for further details."
arch,Arches National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants."
arch,Arches National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
arch,Arches National Park,Entrance - Per Person,15.00,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free."
asis,Assateague Island National Seashore,Entrance - Private Vehicle,25.00,Assateague 7 day vehicle pass.
asis,Assateague Island National Seashore,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
asis,Assateague Island National Seashore,Entrance - Per Person,0.00,Assateague per person walk-in or bicycle
badl,Badlands National Park,Entrance - Private Vehicle,30.00,Fee covers the entry of a private vehicle and its occupants for 7 days
badl,Badlands National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
badl,Badlands National Park,Entrance - Per Person,15.00,"Fee covers the entry of an individual that is hiking, bicycling, etc... for 7 days"
badl,Badlands National Park,Commercial Entrance - Sedan,25.00,"Commercial sedan, 1 to 6 passenger capacity. $25 plus $15 per person - 7 days for Original Manifest"
badl,Badlands National Park,Commercial Entrance - Van,50.00,"Commercial van, 7 to 15 passenger capacity; $50 - 7 days for Original Manifest"
badl,Badlands National Park,Commercial Entrance - Mini-bus,60.00,"Minibus, 16 to 25 passenger capacity; $60 - 7 days for Original Manifest"
badl,Badlands National Park,Commercial Entrance - Motor Coach,150.00,"Motorcoach, 26 or more passenger capacity; $150 - 7 days for Original Manifest"
band,Bandelier National Monument,Entrance - Private Vehicle,25.00,"Pass covers all persons traveling in a single, private, non-commercial vehicle (car, truck, camper, or van up to 15 passengers). Auto passes are non-transferable and not replaced if lost or stolen.  E"
band,Bandelier National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
band,Bandelier National Monument,Entrance - Per Person,15.00,"Pass covers per person entrance fee for those 16 years of age and older traveling on foot or by bicycle, or for individuals traveling together in a 16 passenger or greater vehicle as a non-commercial,"
bibe,Big Bend National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less); valid for 7 days."
bibe,Big Bend National Park,Entrance - Per Person,15.00,Admits one individual. Typically used for bicyclists and pedestrians; valid for 7 days.
bibe,Big Bend National Park,Commercial Entrance - Motor Coach,200.00,Companies conducting business in the park are required to obtain a commercial use authorization. The only exception is companies travelling in a 26-person capacity or greater vehicle; such vehicles ar
bibe,Big Bend National Park,Entrance - Non-commercial Groups,30.00,"Organized groups such as Scouts, clubs, etc. that do not qualify for an academic fee waiver are charged as follows:
$30 per non-commercial vehicle with a capacity of 15 or less.
$15 per person traveli"
bibe,Big Bend National Park,Commercial Entrance - Mini-bus,100.00,"This fee is valid for seven consecutive days. A commercial use authorization is required.

https://www.nps.gov/bibe/learn/management/cua.htm"
bibe,Big Bend National Park,Commercial Entrance - Sedan,25.00,"These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. For sedan with 1 to 6 seats, the fee is $30 + $15 per cl"
bibe,Big Bend National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 1 private, non-commercial motorcycle with up to 2 total passengers."
blca,Black Canyon Of The Gunnison National Park,Entrance - Private Vehicle,30.00,"7-Day Vehicle Pass.  Entrance fees cover all persons in a single, private, non-commercial vehicle."
blca,Black Canyon Of The Gunnison National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
blca,Black Canyon Of The Gunnison National Park,Entrance - Per Person,15.00,7-Day Individual Pass (pedestrian or bicycle)
blca,Black Canyon Of The Gunnison National Park,Commercial Entrance - Sedan,25.00,Commercial tour fee for vehicle/bus with seating capacity of 1-6 persons.  Fee is $25.00 per vehicle plus $7.00 per passenger.
blca,Black Canyon Of The Gunnison National Park,Commercial Entrance - Van,40.00,Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle.
blca,Black Canyon Of The Gunnison National Park,Commercial Entrance - Mini-bus,40.00,Commercial tour fee for vehicle/bus with seating capacity of 7-25.  Fee is $40.00 per vehicle.
blca,Black Canyon Of The Gunnison National Park,Commercial Entrance - Motor Coach,100.00,Commercial tour fee for vehicle/bus with seating capacity of 26 or more.  Fee is $100.00 per vehicle.
blca,Black Canyon Of The Gunnison National Park,Entrance - Non-commercial Groups,30.00,"Non-commercial vehicles with a vehicle capacity of 15 or fewer: $30.00 per vehicle, regardless of the number of passengers."
blca,Black Canyon Of The Gunnison National Park,Entrance - Non-commercial Groups,15.00,Non-commercial vehicles with a vehicle capacity of 16 or greater: $15.00 per passenger (including driver). Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are fr
brca,Bryce Canyon National Park,Entrance - Private Vehicle,35.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all occupants."
brca,Bryce Canyon National Park,Entrance - Motorcycle,30.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
brca,Bryce Canyon National Park,Entrance - Per Person,20.00,Admits one individual with no car to the park - typically used for bicyclists and walk-ins. Youth 15 and under are admitted free.
brca,Bryce Canyon National Park,Nonresident,100.00,"Each non-US resident aged 16 and older visiting Bryce Canyon National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Bea"
cabr,Cabrillo National Monument,Entrance - Private Vehicle,20.00,"Admits one single, private, non-commercial vehicle and all its passengers."
cabr,Cabrillo National Monument,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
cabr,Cabrillo National Monument,Entrance - Per Person,10.00,"Admits one individual when entering by foot or bicycle. Groups of up to 4 people walking in or on bicycles are capped at $20 total.

Individuals 15 years old and younger are admitted free of charge."
cabr,Cabrillo National Monument,Commercial Entrance - Sedan,30.00,1 to 6 / ($30)
cabr,Cabrillo National Monument,Commercial Entrance - Van,45.00,7 to 25 / ($45)
cabr,Cabrillo National Monument,Commercial Entrance - Mini-bus,45.00,7 to 25 / ($45)
cabr,Cabrillo National Monument,Commercial Entrance - Motor Coach,100.00,26 or more / ($100)
cabr,Cabrillo National Monument,Entrance - Non-commercial Groups,20.00,"Organized Non-Commercial Groups include church groups, college/school groups, scouts, service organizations, military, etc.
Vehicles with a capacity of 16 or less are charged the $20.00 vehicle permit"
caco,Cape Cod National Seashore,Entrance - Private Vehicle,25.00,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans."
caco,Cape Cod National Seashore,Entrance - Motorcycle,20.00,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
caco,Cape Cod National Seashore,Entrance - Per Person,15.00,Pass is for one person 16 years of age or older — entering on foot or by bicycle.
cana,Canaveral National Seashore,Entrance - Private Vehicle,25.00,Admits the passholder and passengers of a single vehicle. Good for 7 consecutive days at all park entrances.
cana,Canaveral National Seashore,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
cana,Canaveral National Seashore,Entrance - Per Person,15.00,"Good for 7 consecutive days at all park entrances. Admits one individual hiker, bicyclist, or pedestrian."
cany,Canyonlands National Park,Entrance - Private Vehicle,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants."
cany,Canyonlands National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
cany,Canyonlands National Park,Entrance - Per Person,15.00,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free."
care,Capitol Reef National Park,Entrance - Private Vehicle,20.00,An entrance fee is charged per vehicle.
care,Capitol Reef National Park,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
care,Capitol Reef National Park,Entrance - Per Person,10.00,Admits one individual with no car. Typically used for bicyclists and pedestrians.
care,Capitol Reef National Park,Commercial Entrance - Per Person,10.00,"Commercial Road-Based Tours are required to obtain a Commercial Use Authorization before visiting Capitol Reef.

When visiting the park, the tour must then pay the separate entrance fee at the visitor"
care,Capitol Reef National Park,Commercial Entrance - Mini-bus,100.00,"Commercial Road-Based Tours are required to obtain a Commercial Use Authorization before visiting Capitol Reef National Park.

When visiting the park, the tour must then pay the separate entrance fee "
care,Capitol Reef National Park,Commercial Entrance - Motor Coach,100.00,"Commercial Road-Based Tours are required to obtain a Commercial Use Authorization before visiting Capitol Reef National Park.

When visiting the park, the tour must then pay the separate entrance fee "
care,Capitol Reef National Park,Commercial Entrance - Per Person,10.00,"Guided Activities include all types of guided services, such as bike and motorcycle tours, hiking guides, photography classes, hiking shuttles, and road-based commercial tours with vehicles <16 capaci"
casa,Castillo de San Marcos National Monument,Entrance - Per Person,15.00,"The Castillo de San Marcos is considered to be a ""walk-in"" park. The entrance fee applies to each individual. Tickets are not transferable and cannot be given to other guests. Adults (Age 16 and above"
cave,Carlsbad Caverns National Park,Entrance - Per Person,15.00,Entrance fee provides access to Carlsbad Cavern by elevator and hiking in. Ranger-guided tours are an additional fee and can be reserved on recreation.gov.
cavo,Capulin Volcano National Monument,Entrance - Private Vehicle,20.00,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants to Capulin Volcano National Monument. The maximum size of a vehicle allowed on the Volcano Road is 26 feet in l"
cavo,Capulin Volcano National Monument,Entrance - Motorcycle,15.00,"Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Capulin Volcano accepts the America the Beautiful - Federal Lands Passes (Interagency Annual, Senior, and Access passe"
cavo,Capulin Volcano National Monument,Entrance - Per Person,10.00,"Admits one person arriving on foot or bicycle, or by commercial operator to Capulin Volcano National Monument."
cavo,Capulin Volcano National Monument,Entrance - Non-commercial Groups,10.00,"$10 per person for organized groups such as Scouts, Rotary, Clubs, Youth Groups, Churches, Reunions, etc. that do not qualify for an Academic Fee Waiver. Fees will not exceed the commercial fee for th"
cavo,Capulin Volcano National Monument,Entrance - Education/Academic Groups,0.00,"Educational waivers will be provided in accordance with the Code of Federal Regulations Title 36: if the request is from ""organized tours or outings conducted for educational or scientific purposes re"
cavo,Capulin Volcano National Monument,Commercial Entrance - Sedan,25.00,Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itine
cavo,Capulin Volcano National Monument,Commercial Entrance - Van,40.00,Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itine
cavo,Capulin Volcano National Monument,Commercial Entrance - Mini-bus,40.00,Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itine
cavo,Capulin Volcano National Monument,Commercial Entrance - Motor Coach,100.00,Pass is valid for the day of purchase and the next six days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itine
cebr,Cedar Breaks National Monument,Commercial Entrance - Per Person,10.00,All Commercial Vehicles are $10 per person.
cebr,Cedar Breaks National Monument,Entrance - Private Vehicle,25.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants for 7 days."
cebr,Cedar Breaks National Monument,Entrance - Per Person,15.00,"Admits one individual with no car. Typically used for bicyclists, hikers, and pedestrians. Youth 15 and under are admitted free."
cebr,Cedar Breaks National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
chat,Chattahoochee River National Recreation Area,Entrance - Per Person,5.00,Required for visitors age 16+ entering on foot or by bicycle. Valid for one day.
chat,Chattahoochee River National Recreation Area,Entrance - Private Vehicle,5.00,Private vehicle pass admits one private vehicle and its occupants for one day.
chat,Chattahoochee River National Recreation Area,Entrance - Motorcycle,5.00,"Valid for 1 day. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
chch,Chickamauga & Chattanooga National Military Park,Entrance - Per Person,10.00,"Entrance fees only apply to Point Park, on Lookout Mountain. If you plan to visit Chickamauga Battlefield, parts of Lookout Mountain Battlefield, exclusive of Point Park, Missionary Ridge, Orchard Kno"
chcu,Chaco Culture National Historical Park,Entrance - Private Vehicle,25.00,"This fee allows all persons traveling in one private, non-commercial vehicle (car/truck/van) to enter the park to visit for up to 7 days from the date of purchase."
chcu,Chaco Culture National Historical Park,Entrance - Per Person,15.00,"This fee allows a single individual traveling on foot, bicycle, or as individuals traveling together in a vehicle as a non-commercial, organized group to enter the park to visit for up to 7 days from "
chcu,Chaco Culture National Historical Park,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
chcu,Chaco Culture National Historical Park,Commercial Entrance - Van,40.00,This fee for commercial entrance is charged per vehicle and based on the capacity of the vehicle.
chcu,Chaco Culture National Historical Park,Commercial Entrance - Motor Coach,100.00,This fee for commercial entrance is charged per vehicle and based on the capacity of the vehicle.
chcu,Chaco Culture National Historical Park,Entrance - Non-commercial Groups,25.00,"Non-commercial groups are charged per vehicle and based on the capacity of the vehicle. For vehicles with a seating capacity of 15 or fewer, the fee is $25. For vehicles with a seating capacity of 16 "
chcu,Chaco Culture National Historical Park,Entrance - Education/Academic Groups,0.00,"If you represent an academic institution, you may be eligible for a fee waiver. Download and complete the Academic Fee Waiver and mail it to the park at least two weeks prior to your intended visit. W"
chcu,Chaco Culture National Historical Park,Commercial Entrance - Sedan,40.00,This fee for commercial entrance is charged per vehicle and based on the capacity of the vehicle.
chcu,Chaco Culture National Historical Park,Commercial Entrance - Mini-bus,40.00,This fee for commercial entrance is charged per vehicle and based on the capacity of the vehicle.
choh,Chesapeake & Ohio Canal National Historical Park,Entrance - Private Vehicle,20.00,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans — and is valid at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Ma"
choh,Chesapeake & Ohio Canal National Historical Park,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers to the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland sid"
choh,Chesapeake & Ohio Canal National Historical Park,Entrance - Per Person,10.00,Pass is for one person 16 years of age or older — entering on foot or by bicycle — and is valid at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side o
choh,Chesapeake & Ohio Canal National Historical Park,Entrance - Non-commercial Groups,100.00,"Includes church groups, college/school groups, scouts, service organizations, military, etc...
Vehicles with passenger capacity of fewer than 16 persons, $20 for the vehicle.
Vehicles with a passenger"
choh,Chesapeake & Ohio Canal National Historical Park,Commercial Entrance - Motor Coach,100.00,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note
choh,Chesapeake & Ohio Canal National Historical Park,Commercial Entrance - Van,40.00,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note
choh,Chesapeake & Ohio Canal National Historical Park,Commercial Entrance - Mini-bus,40.00,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note
choh,Chesapeake & Ohio Canal National Historical Park,Commercial Entrance - Sedan,25.00,The commercial pass is valid for date of purchase plus six days at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River. Please note
chri,Christiansted National Historic Site,Entrance - Per Person,10.00,Adults 16 and older.  Children under the age of 16 are admitted free with an adult.
colm,Colorado National Monument,Entrance - Private Vehicle,25.00,"$25 for a private vehicle. Unlimited entry for one vehicle and all its passengers for seven consecutive days, beginning on the day of purchase. Private vehicle must be non-commercial and with a seatin"
colm,Colorado National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
colm,Colorado National Monument,Entrance - Per Person,15.00,This pass is good for 7 days for an individual who is walking or bicycling into the monument.
colm,Colorado National Monument,Entrance - Non-commercial Groups,15.00,"Organized groups such as Scouts, Rotary, Hiking Clubs, Youth Groups, Religious Institutions, etc. that do not qualify for an Academic Fee Waiver are charged as follows:  $15 per person, not to exceed "
colm,Colorado National Monument,Entrance - Education/Academic Groups,0.00,Groups entering the park for educational purposes (curriculum-based classes or activities) may be eligible for a free academic fee wavier.  Email COLM_permits@nps.gov to apply for a waiver or for more
colm,Colorado National Monument,Commercial Entrance - Sedan,25.00,"Cost:  $25, plus $15 per person to a maximum of $40.  The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of pa"
colm,Colorado National Monument,Commercial Entrance - Van,40.00,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, o"
colm,Colorado National Monument,Commercial Entrance - Mini-bus,40.00,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, o"
colm,Colorado National Monument,Commercial Entrance - Motor Coach,100.00,"The entry fees for commercial tours are based on the total capacity of vehicles that carry 7 or more people, regardless of the actual number of passengers.  Possession of an annual or lifetime pass, o"
colo,Colonial National Historical Park,Entrance - Per Person,15.00,Adult (16 and older) -$15; good for 7 days entrance to Yorktown Battlefield (and NPS areas at Historic Jamestowne); can be upgraded to see Preservation Virginia areas at Historic Jamestowne for an add
crla,Crater Lake National Park,Entrance - Private Vehicle,30.00,"This is the summer entrance fee and is charged from mid-May through the end of October.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days."
crla,Crater Lake National Park,Entrance - Private Vehicle,20.00,"This is the winter entrance fee.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days."
crla,Crater Lake National Park,Entrance - Motorcycle,25.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Summer rate from mid-May to October 31st."
crla,Crater Lake National Park,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Winter rate from 11/1 through mid-May."
crla,Crater Lake National Park,Entrance - Per Person,15.00,"Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Good for 7 days."
crla,Crater Lake National Park,Entrance - Snowmobile,15.00,Admits one individual on a snowmobile for travel on snow covered North Entrance Road closed to regular vehicle traffic. Youth 15 and under are admitted free of charge. Good for 7 days.
crla,Crater Lake National Park,Commercial Entrance - Sedan,25.00,"Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board.  In addition to the $25 per vehicle there is also a $15 per passenger charge."
crla,Crater Lake National Park,Commercial Entrance - Van,75.00,"Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board."
crla,Crater Lake National Park,Commercial Entrance - Mini-bus,100.00,"Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board."
crla,Crater Lake National Park,Commercial Entrance - Motor Coach,200.00,"Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board."
crmo,Craters Of The Moon National Monument & Preserve,Entrance - Private Vehicle,20.00,"This per-vehicle fee applies to private, non-commercial vehicles and provides entrance into the park for seven consecutive days. The fee covers the driver and any passengers."
crmo,Craters Of The Moon National Monument & Preserve,Entrance - Motorcycle,15.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
crmo,Craters Of The Moon National Monument & Preserve,Commercial Entrance - Sedan,25.00,This per-vehicle fee applies to commercial vehicles and provides entrance into the park for seven consecutive days.
crmo,Craters Of The Moon National Monument & Preserve,Entrance - Per Person,10.00,This per-person fee provides entrance into the park for seven consecutive days. Youth age 15 and under are free.
crmo,Craters Of The Moon National Monument & Preserve,Entrance - Education/Academic Groups,0.00,Classes or groups from accredited academic institutions may apply for a fee waiver ahead of their visit by contacting the park. Academic fee waivers are not granted automatically. Educational groups m
crmo,Craters Of The Moon National Monument & Preserve,Commercial Entrance - Motor Coach,100.00,This per-vehicle fee applies to commercial vehicles and provides entrance into the park for seven consecutive days.
crmo,Craters Of The Moon National Monument & Preserve,Commercial Entrance - Van,40.00,This per-vehicle fee applies to commercial vehicles and provides entrance into the park for seven consecutive days.
cuis,Cumberland Island National Seashore,Entrance - Per Person,15.00,Cumberland Island National Seashore has a per-person entrance fee. This fee is waived for America the Beautiful pass holder plus three adults. Must present pass at time of check-in.
dena,Denali National Park & Preserve,Entrance - Per Person,15.00,"Denali charges an entrance fee year-round. Youth age 15 or younger are free. For people age 16 or older, the $15 entrance fee provides a 7-day entrance permit. Be prepared to show your receipt or pass"
deto,Devils Tower National Monument,Entrance - Private Vehicle,25.00,"Fee for a single, private, non-commercial vehicle and all its passengers.  Note: In summer it's a good idea to arrive at the entrance station before 10 am or after 4 pm to avoid congestion and find be"
deto,Devils Tower National Monument,Entrance - Motorcycle,20.00,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Note: In summer it's a good idea to arrive at the entrance station before 10 am or after 4 pm to avo"
deto,Devils Tower National Monument,Entrance - Per Person,15.00,Admits one individual when entering on foot or bicycle. Individuals 15 years of age or younger are admitted free. This may also be used to calculate cost for organized non-profit groups (service organ
deto,Devils Tower National Monument,Commercial Entrance - Sedan,25.00,"These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers. The fee is $25 plus $15/person, not to exceed $40."
deto,Devils Tower National Monument,Commercial Entrance - Van,40.00,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.
deto,Devils Tower National Monument,Commercial Entrance - Mini-bus,40.00,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.
deto,Devils Tower National Monument,Commercial Entrance - Motor Coach,100.00,These entrance fees are based upon the seating capacity of the commercial tour vehicle - not the actual number of passengers.
